SPAIN CORONAVIRUS TRACKERS,"Spanish army to help in the traces against Covid-19A member of the UME  works as a rastreator of contacts of Covid-19 patients at Torrejon de Ardoz air base in Madrid province, central Spain, 11 September 2020, as part of the 'Baluarte Operation'.	 By the named operation, UME's military men and women help to fight against Coronavirus by tracing contacts of people with a possitive RPC on Covid-19, so as the virus stop spreading."
CYPRUS MALTA DIPLOMACY,"Malta's Foreign Minister Bartolo visits CyprusCypriot Foreign Minister Nikos Christodoulides  and Maltese Foreign Minister Evarist Bartolo  hold a joint news conference following their meeting at the Ministry of Foreign Affairs, in Nicosia, Cyprus, 11 September 2020.	 Evarist Bartolo is in Cyprus on a working visit."
대선 불복 시위대 체포하는 벨라루스 경찰," 벨라루스의 수도 민스크에서 22일 경찰이 알렉산드르 루카셴코 대통령의 사퇴와 대선 재시행을 요구하는 시위 참가자를 체포하고 있다.	 벨라루스에서는 대선이 시행된 8월 9일 이후 4개월째 대선 불복 시위가 이어지고 있다.	 벨라루스 인권단체 비아스나는 시위 참가자들이 경찰에게 폭행을 당했으며 140여 명이 연행됐다고 주장했다.	     <저작권자 연합뉴스, 무단 전재-"
JAPAN BRITAIN TRADE DEAL,"Japan and Britain reached a free trade agreementJapanese Foreign Minister Toshimitsu Motegi  speaks with Britain's Secretary of State of International Trade Liz Truss during a video conference in Tokyo, Japan, 11 September 2020.	 Trade negotiations between Japan and Britain reached an agreement as Foreign Minister Motegi and UK Secretary of State of International Trade Truss had a final discussion during a video conference and agreed on tariffs for Japanese cars and British agricultural products."
런던의 인종차별 규탄 시위대, 미국 백인 경찰의 가혹행위로 촉발된 인종차별 규탄 시위가 전 세계로 번진 가운데 12일 영국 런던의 세노타프에서 시위대가 '흑인 목숨도 소중하다'는 문구를 들고 거리 행진을 벌이고 있다.
코로나19로 국제선 착륙 금지 연장된 태국 공항, 태국 방콕 스완나품 공항에서 15일 신종 코로나바이러스 감염증 예방 마스크를 쓴 경찰이 '사회적 거리 두기' 표시가 된 의자들 사이에 앉아 있다.	 태국 당국은 이날 코로나19 확산 방지를 위해 국제선 여객기 착륙 금지 기한을 이달 말까지 연장했다.
멸종위기종 푸른바다거북 풀어주는 인도네시아 해양경찰, 인도네시아 발리의 해양경찰이 5일 발리 섬 최남단 쿠타 해변에서 밀렵꾼들로부터 압수한 푸른바다거북 25마리를 바다로 돌려보내고 있다.	 열대나 아열대 해양에서 서식하는 푸른바다거북은 멸종위기종으로 지정돼 있다.
epaselect LEBANON BEIRUT PORT FIRE,"Fire at port of Beirutepaselect epa08660806 Firefighters extinguish a fire in a warehouse at the port of Beirut, Lebanon, 11 September 2020.	 A fire broke out on 10 September in an oils and tires warehouse in the port's duty-	free zone, just weeks after the 04 August Beirut port blast in which at least 190 people died, more than 6,000 were injured, and the port area and large parts of the city were devastated.	 According to reports, the fire is brought under control."
SINGAPORE PANDEMIC CORONAVIRUS COVID19 VACCINATION,"Singapore's PM Lee receives the Pfizer-	BioNTech COVID-19 vaccineA handout photo made available by the Ministry of Communications and Information shows Singapore's Prime Minister Lee Hsien Loong showing his vaccination card after receiving the first dose of the Pfizer-	BioNTech COVID-19 vaccine at the Singapore General Hospital in Singapore, 08 January 2021.	 Lee Hsien Loong received the Covid-19 vaccine as the city-	state began a nationwide drive to vaccinate staff in public healthcare facilities."
태국 반정부시위 상징된 노란색 오리 보트," 태국 수도 방콕에서 2일 한 여성이 반정부시위의 상징인 노란색 오리 고무보트 앞에서 '셀카'를 찍고 있다.	 경찰의 물대포를 막기 위해 등장한 러버덕은 독재에 저항하는 의미를 담은 '세 손가락 경례'와 함께 반정부시위의 상징이 됐다.	 태국에서는 쁘라윳 짠오차 총리 퇴진, 군부 제정 헌법 개헌, 군주제 개혁 등을 요구하는 시위가 수개월째 이어지고 있다.	     <저작권자 연합뉴스, 무단 전재-"
대선 불복 시위 사망자 추모하는 벨라루스 시민들, 15일 벨라루스 수도 민스크에서 시민들이 지난 10일 대선 불복 시위에 가담해 경찰과 충돌하는 과정에서 목숨을 잃은 알렉산더 타라이코프스키를 추모하고 있다.
ITALY SCHOOLS PANDEMIC CORONAVIRUS COVID19,"Preparations at schools for the return of studentsA view of marks on the ground for social distancing in accordance with anti-	contagion measures during the preparation for the return to classes after the Covid-19 emergency lockdown at 'Duca degli Abruzzi' school, Genoa, 11 September 2020.	 Most of Italy regions' schools reopen on 14 September while the Puglia and Calabria regions have delayed reopening until the 24 September."
